id,업종,현재,목표,기간,열리는 기회 수,요약,준비할 것,활용 기회,출처(video=영상 판독)
1,음식·숙박,음식점,식품 브랜드 (OEM),6~12개월,5,"현재 음식점을 운영하고 계시지만, 자체 메뉴와 레시피를 보유하고 계시다면 제조는 OEM에 맡기고 브랜드와 유통을 직접 가져가는 확장을 검토할 수 있습니다. 공장을 짓지 않고도 제조업 매출을 만들 수 있는 경로입니다.","인허가: 식품제조가공업, 통신판매업 / 사업확장 기반: 식품표시 기준 준수","소상공인 온라인 판로지원, 브랜드·디자인 개발 지원, 상표 출원 지원, 수출바우처, 제조업 전환 시 정책자금 확대",video
2,음식·숙박,음식점,식품 제조기업,12~24개월,5,"OEM이 아니라 직접 제조로 가면 제조업 사업자가 됩니다. 정책자금 한도와 대상 사업이 소상공인 기준에서 제조업 기준으로 바뀌고, 기술개발(R&D)과 시설자금까지 검토 범위에 들어옵니다. 대신 시설과 인허가가 먼저입니다.","인허가: 식품제조가공업, HACCP / 사업확장 기반: 품목제조보고","제조업 시설자금, 스마트공장 지원, 식품 R&D 과제, HACCP 인증 지원, 벤처기업 확인 가능성",video
3,음식·숙박,음식점,프랜차이즈,12~24개월,3,"직영점 운영 경험과 인기 메뉴가 있다면 가맹사업으로 확장할 수 있습니다. 다만 가맹사업은 정보공개서 등록이 법적 요건이고, 직영점 1년 운영 이력이 원칙적으로 필요합니다.",지식재산: 상표 / 인허가: 가맹사업 정보공개서 등록 / 사업확장 기반: 직영점 운영 요건,"프랜차이즈 수준 진단, 브랜드 개발 지원, 상표 출원 지원",video
4,서비스,서비스,온라인·플랫폼,12~24개월,4,시간을 파는 구조는 매출 상한이 사람 수로 정해집니다. 예약·구독·콘텐츠처럼 온라인으로 반복 판매되는 상품을 만들면 그 상한이 풀립니다. 온라인 판매가 시작되는 순간 통신판매업 신고와 개인정보 처리 기준이 먼저 걸립니다.,"인허가: 통신판매업 / 사업확장 기반: 개인정보 처리방침, 온라인 결제 체계","소상공인 온라인 판로지원, 콘텐츠 제작 지원, 브랜드 개발 지원, 상표 출원 지원",video
5,서비스,서비스,다점포·가맹,12~24개월,3,"한 곳에서 검증된 운영 방식이 있다면 두 번째 지점이 다음 걸음입니다. 2호점부터는 감이 아니라 매뉴얼이 필요하고, 가맹으로 갈 거라면 음식점과 마찬가지로 정보공개서 등록과 직영 운영 이력이 요건입니다.","지식재산: 상표 / 인허가: 가맹사업 정보공개서 등록(가맹 시) / 사업확장 기반: 운영 매뉴얼, 직영점 운영 이력","프랜차이즈 수준 진단, 소상공인 성장 지원, 상표 출원 지원",authored
6,도소매,도소매,자체 브랜드 제조·유통,6~12개월,4,"이미 무엇이 팔리는지 아신다는 게 가장 큰 자산입니다. 그 판단으로 자체 브랜드를 만들면 마진 구조가 달라지고, 상표·디자인권이 회사 자산으로 쌓입니다.",기업·기술 인증: 품목별 인증(전기·안전·식품 등) / 인허가: 통신판매업,"온라인 판로지원, 상표·디자인 출원 지원, 수출바우처, 브랜드 개발 지원",video
7,도소매,도소매,수출·해외 판로,12~24개월,4,"국내에서 팔리는 품목은 대개 해외에도 같은 수요가 있습니다. 수출은 첫 실적 한 건을 만드는 일이 가장 어렵고, 그 한 건이 생기면 바우처·전시회·정책자금 평가에서 모두 근거로 쓰입니다.","사업확장 기반: 무역업 고유번호, 원산지 관리 / 기업·기술 인증: 목표국 인증","수출바우처, 해외 전시회 지원, 무역보험, 수출 첫걸음 지원",authored
8,건설·인테리어,인테리어·시공,자체 제품·조달,12~24개월,5,"현장에서 불편해서 직접 고쳐 쓴 자재나 공법이 있다면 그게 특허와 제품의 출발점입니다. 제품이 되면 시공 매출 외에 납품 매출이 생기고, 조달 등록으로 공공시장이 열립니다.",지식재산: 특허 / 인허가: 직접생산확인 / 사업확장 기반: 시험성적서,"특허 출원 지원, 조달 진출 지원, 기술개발 R&D, 이노비즈·벤처 확인, 제조업 정책자금",video
9,교육,교육,온라인 콘텐츠·구독,6~12개월,3,강의는 한 번 하면 사라지지만 콘텐츠는 남아서 반복 판매됩니다. 온라인으로 옮기는 순간 원격교육 형태에 따른 신고 요건과 저작권 정리가 먼저입니다 — 특히 교안·영상의 권리 관계는 만들 때 정리해 두는 것이 나중에 정리하는 것보다 훨씬 쌉니다.,지식재산: 저작권 등록 / 인허가: 원격평생교육시설 신고(해당 시) / 사업확장 기반: 온라인 결제·구독 체계,"콘텐츠 제작 지원, 온라인 판로지원, 상표 출원 지원",authored
10,교육,교육,기업·기관 교육(B2B),12~24개월,3,"개인 수강생 모집은 광고비 싸움이지만, 기업·기관 교육은 실적과 자격으로 들어가는 시장입니다. 위탁훈련·입찰에 참여하려면 기관 인정과 실적 증빙이 요건이라, 개인 대상 매출을 쌓으면서 서류를 미리 갖추는 순서가 맞습니다.","기업·기술 인증: 위탁훈련기관 인정(해당 시) / 사업확장 기반: 교육 실적 증빙, 강사진 이력","직업능력개발 위탁훈련, 정부·지자체 교육사업 입찰, 조달 등록(학습 서비스)",authored
